RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS1357+6129,-,1,K*,HIP068184,,00-33,no,13:57:32.1,+61:29:34.2,......,........,99.228,-32.074,216.317,6.154,1.234,6.727,5.493,.....,1661568850770761600,209.383750,61.492833
RKS1358+1917,-,1,K*,,G2K001482,33-40,eq,13:58:13.6,+19:17:11.7,......,........,27.173,-121.502,-18.247,8.974,1.217,9.520,8.303,.....,1246505032351703808,209.556667,19.286583
RKS1358-6000,-,1,K*,,,40-50,so,13:58:51.1,-60:00:08.6,......,........,21.478,-54.746,37.701,9.501,1.237,10.065,8.827,.....,5867502402477122048,209.712917,-60.002389
RKS1359+2252,-,1,K*,HIP068337,G2K001483,00-33,eq,13:59:19.4,+22:52:11.1,......,........,42.015,-160.868,12.927,8.620,1.415,9.286,7.871,.....,1250801855073489280,209.830833,22.869750
RKS1359+2514,-,1,K*,HIP068342+,G2K001484,40-50,eq,13:59:21.5,+25:14:23.3,......,........,24.680,-528.178,-93.212,10.204,1.566,10.957,9.391,.....,1258095809053601408,209.839583,25.239806
RKS1400+4448,-,1,K*,HIP068403,,33-40,no,14:00:11.0,+44:48:40.5,......,........,32.354,-191.908,-13.910,9.725,1.635,10.526,8.891,.....,1499696549907455360,210.045833,44.811250
RKS1400+1805,B,-,..,,,33-40,eq,14:00:45.3,+18:05:57.2,AB,1.5424,28.382,-144.035,287.158,NaN,NaN,NaN,NaN,147.7,,210.188750,18.099222
RKS1400+1805,A,2,K*,HIP068447,G2K001485,33-40,eq,14:00:45.3,+18:05:57.2,AB,1.5424,28.382,-144.035,287.158,9.882,1.533,10.591,9.058,147.7,1245560861101067008,210.188750,18.099222
RKS1400-3147,-,1,K*,HIP068462,,33-40,so,14:00:57.0,-31:47:49.9,......,........,32.028,-695.109,96.822,10.337,1.865,11.278,9.412,.....,6172473118001192576,210.237500,-31.797194
RKS1401+1948,-,1,K*,,G2K001486,33-40,eq,14:01:26.3,+19:48:10.3,......,........,26.198,-282.667,275.239,11.094,1.882,12.049,10.168,.....,1246631716706848000,210.359583,19.802861
RKS1401+1529,-,1,K*,HIP068551,G2K001487,00-33,eq,14:01:58.8,+15:29:39.3,......,........,33.842,117.434,-16.027,10.662,1.832,11.345,9.512,.....,1231492609823304320,210.495000,15.494250
RKS1401-2108,-,1,K*,HIP068552,G2K001488,40-50,eq,14:01:59.8,-21:08:00.0,......,........,23.705,-226.501,-134.618,9.195,1.177,9.727,8.550,.....,6289569349715912704,210.499167,-21.133333
RKS1403-0801,-,1,K*,,G2K001489,33-40,eq,14:03:01.3,-08:01:24.8,......,........,26.031,29.531,-33.672,10.403,1.642,11.203,9.561,.....,3616274437878086400,210.755417,-8.023556
RKS1403-1036,-,1,K*,HIP068689,G2K001490,40-50,eq,14:03:37.3,-10:36:14.8,......,........,22.979,-240.491,-61.067,10.872,1.644,11.671,10.027,.....,3614568648666758400,210.905417,-10.604111
RKS1404+2045,-,1,K*,HIP068732,G2K001491,40-50,eq,14:04:10.0,+20:45:32.8,......,........,24.854,-126.383,-18.956,9.787,1.355,10.423,9.068,.....,1247168931216260736,211.041667,20.759111
RKS1404+4021,-,1,K*,HIP068745,,33-40,no,14:04:18.5,+40:21:01.8,......,........,29.468,-263.843,111.623,10.107,1.647,10.910,9.263,.....,1497683717777740928,211.077083,40.350500
RKS1404-2529,-,1,K*,,G2K001492,33-40,eq,14:04:29.1,-25:29:55.6,......,........,29.992,-45.134,-19.171,9.741,1.560,10.480,8.921,.....,6273953643197832576,211.121250,-25.498778
RKS1404-3954,-,1,K*,HIP068772,,33-40,so,14:04:33.5,-39:54:10.6,......,........,28.373,-194.222,-101.835,9.495,1.341,10.120,8.780,.....,6111254543956407936,211.139583,-39.902944
RKS1405+0622,-,1,K*,,G2K001493,40-50,eq,14:05:55.9,+06:22:35.1,......,........,21.009,28.995,-2.481,10.109,1.503,10.795,9.292,.....,3672394817029127168,211.482917,6.376417
RKS1406+1740,-,1,K*,,G2K001494,33-40,eq,14:06:17.2,+17:40:29.4,......,........,25.110,-186.428,0.612,11.041,1.778,11.928,10.150,.....,1245387516221133824,211.571667,17.674833
RKS1406+0314,B,-,..,HIP068889,G2K001495,40-50,eq,14:06:17.7,+03:14:08.4,AB,1.0132,22.702,-332.756,-5.085,NaN,NaN,NaN,NaN,115.7,,211.573750,3.235667
RKS1406+0314,A,2,K*,HIP068889,G2K001495,40-50,eq,14:06:17.7,+03:14:08.4,AB,1.0132,22.702,-332.756,-5.085,9.973,1.407,10.590,9.182,115.7,3670594366739201664,211.573750,3.235667
RKS1406-1612,-,1,K*,HIP068900,G2K001496,40-50,eq,14:06:24.3,-16:12:46.6,......,........,24.903,-215.721,-147.946,9.691,1.275,10.275,9.000,.....,6300681568277869696,211.601250,-16.212944
RKS1407-3643,-,1,K*,,,00-33,so,14:07:24.4,-36:43:43.2,......,........,48.357,330.026,-254.678,9.098,1.642,9.897,8.256,.....,6120654200137332480,211.851667,-36.728667
RKS1407+0753,-,1,K*,,G2K001497,40-50,eq,14:07:51.3,+07:53:31.9,......,........,23.337,59.856,-137.327,11.375,1.883,12.323,10.440,.....,3674332362676365824,211.963750,7.892194
RKS1408+2306,-,1,K*,,G2K001498,40-50,eq,14:08:01.2,+23:06:29.5,......,........,22.774,10.018,-162.586,10.899,1.792,11.793,10.001,.....,1256682077618503552,212.005000,23.108194
RKS1408-5217,-,1,K*,HIP069075,,33-40,so,14:08:21.4,-52:17:13.8,......,........,28.881,-200.939,100.996,9.179,1.187,9.713,8.525,.....,6089501943354246144,212.089167,-52.287167
RKS1408+8236,-,1,K*,,,40-50,no,14:08:39.0,+82:36:14.3,......,........,24.360,-143.927,2.704,9.976,1.426,10.651,9.224,.....,1725076573672041856,212.162500,82.603972
RKS1408+0432,-,1,K*,HIP069109,G2K001499,40-50,eq,14:08:50.4,+04:32:24.0,......,........,21.734,292.046,-399.504,10.604,1.466,11.294,9.829,.....,3671127041467712256,212.210000,4.540000
RKS1409-5156,-,1,K*,HIP069129,,40-50,so,14:09:01.3,-51:56:16.1,......,........,22.002,-326.391,-178.310,9.007,1.059,9.475,8.416,.....,6089527300841347328,212.255417,-51.937806
RKS1409+5030,-,1,K*,,,40-50,no,14:09:24.8,+50:30:50.6,......,........,21.286,-15.228,-61.990,11.149,1.744,12.014,10.270,.....,1511614740556047232,212.353333,50.514056
RKS1409-3541,-,1,K*,,,40-50,so,14:09:40.2,-35:41:34.4,......,........,23.003,-93.205,-115.989,10.242,1.546,10.982,9.437,.....,6121189181262914432,212.417500,-35.692889
RKS1409-5959,-,1,K*,,,00-33,so,14:09:52.3,-59:59:10.6,......,........,35.873,148.614,-68.286,10.518,1.712,11.357,9.645,.....,5866913815823687040,212.467917,-59.986278
RKS1410-4458,-,1,K*,HIP069224,,40-50,so,14:10:21.7,-44:58:45.5,......,........,20.227,34.919,-311.291,9.372,1.097,9.860,8.762,.....,6096944674996382592,212.590417,-44.979306
RKS1410+7235,-,1,K*,,,40-50,no,14:10:30.4,+72:35:14.1,......,........,20.544,-63.162,-92.513,11.092,1.735,11.942,10.207,.....,1699331199670092288,212.626667,72.587250
RKS1411+7320,-,1,K*,HIP069303,,33-40,no,14:11:05.6,+73:20:51.0,......,........,31.517,48.783,77.437,9.791,1.553,10.540,8.986,.....,1699517051494599168,212.773333,73.347500
RKS1411+4306,-,1,K*,HIP069311,,33-40,no,14:11:12.6,+43:06:23.9,......,........,28.241,-195.160,71.737,9.597,1.470,10.295,8.825,.....,1504510899008497408,212.802500,43.106639
RKS1411-8335,-,1,K*,,,40-50,so,14:11:19.8,-83:35:47.6,......,........,24.630,-86.207,-101.599,9.769,1.365,10.409,9.044,.....,5770169750499251968,212.832500,-83.596556
RKS1411+3005,-,1,K*,HIP069333,,40-50,no,14:11:24.2,+30:05:02.4,......,........,22.651,-449.809,-122.781,9.857,1.459,10.526,9.067,.....,1453201566130674432,212.850833,30.084000
RKS1411+2611,-,1,K*,HIP069345,G2K001500,33-40,eq,14:11:34.3,+26:11:44.8,......,........,25.309,-48.839,160.269,9.986,1.491,10.696,9.205,.....,1259161648137743872,212.892917,26.195778
RKS1411-1236,-,1,K*,HIP069357,G2K001501,00-33,eq,14:11:46.2,-12:36:42.3,......,........,43.440,-254.112,-179.861,7.681,1.076,8.154,7.078,.....,6303961686341504512,212.942500,-12.611750
RKS1411+3206,-,1,K*,,,40-50,no,14:11:58.4,+32:06:33.0,......,........,22.612,210.174,-132.018,11.504,1.832,12.413,10.581,.....,1478353792260736768,212.993333,32.109167
RKS1412-4510,-,1,K*,,,33-40,so,14:12:11.1,-45:10:23.2,......,........,25.666,123.148,15.571,11.198,1.806,12.101,10.295,.....,6096180102098901760,213.046250,-45.173111
RKS1412+2348,A,2,K*,HIP069410,G2K001502,00-33,eq,14:12:41.6,+23:48:51.5,AB,1.1350,31.826,-27.172,-6.209,8.607,1.209,9.130,7.921,135.4,1254106128033049472,213.173333,23.814306
RKS1412+2348,B,-,..,,,00-33,eq,14:12:41.6,+23:48:51.5,AB,1.1350,31.826,-27.172,-6.209,NaN,NaN,NaN,NaN,135.4,,213.173333,23.814306
RKS1413+5519,A,2,K*,HIP069442,,33-40,no,14:13:00.7,+55:19:31.5,......,........,26.140,-341.180,-4.894,8.595,1.234,9.147,7.913,.....,1609585452838737536,213.252917,55.325417
RKS1413+5519,B,-,K*,,,33-40,no,14:13:00.9,+55:19:30.2,......,........,26.026,-341.572,-19.775,8.997,1.151,9.489,8.339,.....,1609585452838737664,213.253750,55.325056
RKS1413+4816,-,1,K*,,,33-40,no,14:13:25.7,+48:16:29.5,......,........,25.323,-87.370,4.235,10.723,1.732,11.576,9.845,.....,1507924092338952192,213.357083,48.274861
RKS1413-0657,-,1,K*,HIP069485,G2K001503,00-33,eq,14:13:31.2,-06:57:32.3,......,........,54.685,110.261,136.803,9.475,1.835,10.395,8.561,.....,3640244581637740416,213.380000,-6.958972
RKS1413-6207,-,1,K*,,,00-33,so,14:13:32.4,-62:07:33.3,......,........,36.166,-538.017,-548.382,10.630,1.892,11.584,9.691,.....,5854486005839098240,213.385000,-62.125917
RKS1413+5522,-,1,K*,HIP069488,,33-40,no,14:13:36.9,+55:22:11.3,......,........,26.771,-270.743,-43.728,8.871,1.191,9.404,8.213,.....,1609586552350380928,213.403750,55.369806
RKS1413+1014,-,1,K*,,G2K001504,40-50,eq,14:13:40.7,+10:14:10.3,......,........,24.891,-135.530,6.559,10.626,1.745,11.486,9.741,.....,1225075997402563840,213.419583,10.236194
RKS1413+3013,-,1,K*,HIP069526,,00-33,no,14:13:57.1,+30:13:01.8,......,........,58.115,-398.333,175.028,7.667,1.293,8.267,6.975,.....,1453180404823190912,213.487917,30.217167
RKS1414-1521,-,1,K*,HIP069562,G2K001505,00-33,eq,14:14:21.4,-15:21:22.1,......,........,34.530,-128.327,-164.989,9.703,1.736,10.501,8.765,.....,6298167775459045632,213.589167,-15.356139
RKS1414-3642,-,1,K*,,,40-50,so,14:14:24.8,-36:42:03.2,......,........,21.220,-95.665,-68.001,9.444,1.131,9.950,8.819,.....,6118024408844004864,213.603333,-36.700889
RKS1414+1600,-,1,K*,HIP069595,G2K001506,33-40,eq,14:14:41.0,+16:00:49.6,......,........,29.454,-267.916,110.639,8.330,1.021,8.778,7.758,.....,1232177021451771264,213.670833,16.013778
RKS1415-0959,-,1,K*,,G2K001507,40-50,eq,14:15:14.3,-09:59:43.6,......,........,22.563,89.451,-45.655,10.206,1.450,10.891,9.440,.....,6305011479427892736,213.809583,-9.995444
RKS1416+5122,-,1,K*,,,00-33,no,14:16:12.2,+51:22:34.7,......,........,34.058,-145.982,92.912,8.038,1.018,8.489,7.471,.....,1511727371778725504,214.050833,51.376306
RKS1416+3234,-,1,K*,,,00-33,no,14:16:13.6,+32:34:41.7,......,........,39.330,16.592,-464.568,9.150,1.412,9.812,8.400,.....,1478100423554138880,214.056667,32.578250
RKS1416-6334,-,1,K*,,,33-40,so,14:16:24.0,-63:34:33.5,......,........,30.139,44.880,-24.146,8.417,1.153,8.929,7.776,.....,5853747683843899264,214.100000,-63.575972
RKS1416+2007,-,1,K*,HIP069751,G2K001508,00-33,eq,14:16:33.0,+20:07:14.6,......,........,30.103,-125.281,-87.087,8.258,0.992,8.676,7.684,.....,1252050659765215616,214.137500,20.120722
RKS1417-2051,-,1,K*,,G2K001509,40-50,eq,14:17:01.5,-20:51:53.0,......,........,24.752,-108.667,36.637,10.929,1.904,11.889,9.984,.....,6277675112100400000,214.256250,-20.864722
RKS1417+4526,-,1,K*,HIP069824,,00-33,no,14:17:24.4,+45:26:40.1,......,........,51.429,43.670,-18.283,9.532,1.863,10.470,8.607,.....,1505214930047542784,214.351667,45.444472
RKS1418-4554,-,1,K*,HIP069901,,33-40,so,14:18:22.7,-45:54:17.7,......,........,28.119,37.307,37.989,8.662,1.091,9.149,8.059,.....,6096226728263563392,214.594583,-45.904917
RKS1418-0636,B,-,..,,,00-33,eq,14:18:58.3,-06:36:12.9,AB,0.1675,44.376,2.712,-432.215,NaN,NaN,NaN,NaN,334.4,,214.742917,-6.603583
RKS1418-0636,A,2,K*,HIP069962,G2K001510,00-33,eq,14:18:58.3,-06:36:12.9,AB,0.1675,44.376,2.712,-432.215,8.556,1.638,9.347,7.708,334.4,3639984066101401344,214.742917,-6.603583
RKS1419-3728,-,1,K*,,,00-33,so,14:19:02.1,-37:28:11.7,......,........,46.167,137.701,-5.536,9.374,1.739,10.232,8.493,.....,6117754272585766016,214.758750,-37.469917
RKS1419-5922,-,1,K*,HIP069972,,00-33,so,14:19:04.8,-59:22:44.5,......,........,84.453,-454.895,-810.729,6.339,1.191,6.889,5.698,.....,5866992641380992256,214.770000,-59.379028
RKS1419+2717,-,1,K*,HIP069999,G2K001512,40-50,eq,14:19:26.1,+27:17:24.8,......,........,23.209,-24.037,-231.538,9.948,1.355,10.575,9.220,.....,1259650209257652096,214.858750,27.290222
RKS1419-0509,-,1,K*,HIP070016+,G2K001513,00-33,eq,14:19:34.9,-05:09:04.2,......,........,48.865,-633.102,-120.705,7.338,1.047,7.805,6.757,.....,3642413746280598784,214.895417,-5.151167
RKS1420-1103,-,1,K*,HIP070049,G2K001514,40-50,eq,14:20:08.1,-11:03:30.2,......,........,22.820,-117.913,-42.675,9.729,1.214,10.278,9.064,.....,6303903171707085440,215.033750,-11.058389
RKS1420+1554,-,1,K*,,G2K001515,40-50,eq,14:20:13.3,+15:54:22.1,......,........,23.105,40.205,-75.233,10.792,1.675,11.611,9.936,.....,1232303804590894464,215.055417,15.906139
RKS1420-6428,-,1,K*,HIP070098,,40-50,so,14:20:38.2,-64:28:07.1,......,........,20.427,-194.402,-168.826,9.272,1.067,9.746,8.679,.....,5852886525731318912,215.159167,-64.468639
RKS1420+2415,-,1,K*,,G2K001516,40-50,eq,14:20:55.9,+24:15:16.3,......,........,21.612,-85.900,-13.531,11.253,1.780,12.137,10.357,.....,1255497456918746624,215.232917,24.254528
RKS1421+0031,-,1,K*,HIP070136,G2K001517,40-50,eq,14:21:04.9,+00:31:07.0,......,........,21.167,-82.936,-5.180,10.515,1.500,11.231,9.731,.....,3654021565412784512,215.270417,0.518611
RKS1421+3724,-,1,K*,HIP070142,,33-40,no,14:21:08.9,+37:24:03.6,......,........,25.679,-130.784,-24.663,8.650,1.046,9.113,8.067,.....,1484502295643717888,215.287083,37.401000
RKS1421-4023,-,1,K*,HIP070170,,00-33,so,14:21:23.2,-40:23:38.2,......,........,35.434,-561.636,-68.516,8.655,1.301,9.257,7.956,.....,6104435819513399168,215.346667,-40.393944
RKS1421-6325,-,1,K*,,,33-40,so,14:21:37.9,-63:25:12.9,......,........,26.449,-224.127,-166.297,9.784,1.469,10.481,9.013,.....,5853363919945745920,215.407917,-63.420250
RKS1421+2937,-,1,K*,HIP070218+,G2K001518,00-33,eq,14:21:57.2,+29:37:46.6,......,........,68.861,-631.625,-308.495,8.016,1.567,8.771,7.204,.....,1284721994948665216,215.488333,29.629611
RKS1422+1800,-,1,K*,,G2K001519,40-50,eq,14:22:53.6,+18:00:04.5,......,........,21.024,-487.980,-36.323,11.578,1.653,12.374,10.721,.....,1238796631206892160,215.723333,18.001250
RKS1423-6822,-,1,K*,HIP070308,,00-33,so,14:23:06.4,-68:22:57.5,......,........,41.262,57.810,-237.206,9.564,1.861,10.498,8.637,.....,5846770973285176960,215.776667,-68.382639
RKS1423-2547,-,1,K*,,G2K001520,40-50,eq,14:23:10.1,-25:47:59.0,......,........,24.443,59.282,-19.319,8.990,1.050,9.455,8.405,.....,6271654353931091712,215.792083,-25.799722
RKS1423-0806,-,1,K*,HIP070317,G2K001521,33-40,eq,14:23:11.5,-08:06:58.6,......,........,28.539,-358.381,-106.802,9.434,1.410,10.101,8.691,.....,6329653390432225792,215.797917,-8.116278
RKS1423+2233,-,1,K*,,G2K001522,40-50,eq,14:23:59.0,+22:33:04.3,......,........,20.563,-112.231,10.880,9.016,1.021,9.463,8.442,.....,1254340805046026752,215.995833,22.551194
RKS1424+6015,-,1,K*,HIP070426,,40-50,no,14:24:26.9,+60:15:24.8,......,........,22.638,-206.415,120.690,9.303,1.295,9.900,8.605,.....,1612283585653429760,216.112083,60.256889
RKS1424+0744,-,1,K*,,G2K001523,40-50,eq,14:24:42.9,+07:44:25.6,......,........,24.123,-153.334,-83.248,10.850,1.752,11.713,9.962,.....,1175518465718053760,216.178750,7.740444
RKS1424-1727,A,2,K*,HIP070472,G2K001524,33-40,eq,14:24:49.9,-17:27:08.0,AB,1.0674,29.385,-438.952,84.671,10.147,1.685,10.938,9.254,320.6,6284731365410978048,216.207917,-17.452222
RKS1424-1727,B,-,..,,,33-40,eq,14:24:49.9,-17:27:08.0,AB,1.0674,29.385,-438.952,84.671,NaN,NaN,NaN,NaN,320.6,,216.207917,-17.452222
RKS1425+3247,-,1,K*,HIP070500,,33-40,no,14:25:17.4,+32:47:28.0,......,........,29.697,87.737,-93.069,8.245,1.016,8.690,7.674,.....,1477933572665361920,216.322500,32.791111
RKS1426-8127,-,1,K*,HIP070610,,33-40,so,14:26:35.7,-81:27:11.9,......,........,25.386,-40.399,-224.083,9.356,1.287,9.910,8.623,.....,5772625505422769024,216.648750,-81.453306
RKS1427-7711,-,1,K*,HIP070656,,33-40,so,14:27:04.7,-77:11:00.0,......,........,27.856,-114.838,-200.127,9.580,1.397,10.235,8.838,.....,5786724512967401984,216.769583,-77.183333
RKS1427-1731,-,1,K*,,G2K001525,40-50,eq,14:27:11.2,-17:31:28.6,......,........,20.051,23.161,-8.937,10.283,1.452,10.961,9.509,.....,6284692500250626688,216.796667,-17.524611
RKS1427-0530,-,1,K*,,G2K001526,40-50,eq,14:27:15.2,-05:30:53.5,......,........,21.668,-106.046,-85.341,9.226,1.111,9.708,8.597,.....,3641623811599980928,216.813333,-5.514861
RKS1427+6300,A,2,K*,,,40-50,no,14:27:18.2,+63:00:19.7,......,........,22.222,46.295,-31.362,11.083,1.842,11.999,10.158,.....,1667187355188909568,216.825833,63.005472
RKS1427+6300,B,-,K*,,,40-50,no,14:27:18.7,+63:00:19.1,......,........,22.236,45.419,-27.228,11.222,1.888,12.166,10.278,.....,1667187355188909696,216.827917,63.005306
RKS1427-3643,-,1,K*,,,00-33,so,14:27:32.8,-36:43:59.0,......,........,33.879,-146.607,56.495,10.008,1.749,10.878,9.129,.....,6118597868578772352,216.886667,-36.733056
RKS1427-5157,-,1,K*,,,40-50,so,14:27:40.9,-51:57:54.5,......,........,22.589,-183.297,-136.654,11.014,1.824,11.924,10.100,.....,5898640777912659328,216.920417,-51.965139
RKS1427+2350,-,1,K*,HIP070715,G2K001527,40-50,eq,14:27:45.0,+23:50:27.0,......,........,21.844,-517.427,73.798,10.413,1.528,11.141,9.613,.....,1254716627568565504,216.937500,23.840833
RKS1428-1606,-,1,K*,HIP070756,G2K001528,33-40,eq,14:28:12.2,-16:06:36.3,......,........,28.420,-22.295,-0.201,9.415,1.358,10.053,8.695,.....,6298443615439036928,217.050833,-16.110083
RKS1428-0213,-,1,K*,HIP070755,G2K001529,33-40,eq,14:28:12.5,-02:13:42.4,......,........,26.908,-137.871,-4.326,8.699,1.059,9.151,8.092,.....,3649422995468596224,217.052083,-2.228444
RKS1428-1624,-,1,K*,,G2K001530,40-50,eq,14:28:49.0,-16:24:53.8,......,........,23.125,-203.964,-266.765,11.262,1.842,12.184,10.341,.....,6286320572029985664,217.204167,-16.414944
RKS1429+3816,-,1,K*,HIP070836,,33-40,no,14:29:09.3,+38:16:39.6,......,........,26.531,183.623,-246.324,8.899,1.132,9.407,8.275,.....,1487609618582803712,217.288750,38.277667
RKS1429-4627,-,1,K*,HIP070849,,00-33,so,14:29:18.6,-46:27:49.7,......,........,41.539,-43.981,-201.760,9.698,1.829,10.615,8.786,.....,6099000589942631424,217.327500,-46.463806
RKS1429+8048,-,1,K*,HIP070857,,00-33,no,14:29:22.3,+80:48:35.4,......,........,50.760,-76.849,-129.877,6.661,0.973,7.087,6.114,.....,1721626615421969408,217.342917,80.809833
RKS1429+3947,-,1,K*,,,40-50,no,14:29:34.2,+39:47:25.5,......,........,23.832,-118.228,-6.973,8.910,1.039,9.366,8.328,.....,1490845584382687232,217.392500,39.790417
RKS1430-4657,-,1,K*,HIP070924,,33-40,so,14:30:13.8,-46:57:01.8,......,........,28.443,-635.819,-396.469,9.684,1.488,10.391,8.903,.....,6092221001248304000,217.557500,-46.950500
RKS1430-7245,A,2,K*,,,40-50,so,14:30:30.7,-72:45:32.4,......,116.748,20.100,4.455,-29.152,10.495,1.486,11.200,9.714,013.4,5796674577807917184,217.627917,-72.759000
RKS1430-7245,B,-,K*,,,40-50,so,14:30:36.8,-72:43:38.9,......,116.748,20.016,3.851,-28.515,10.573,1.516,11.295,9.779,013.4,5796675471155971840,217.653333,-72.727472
RKS1430+3527,-,1,K*,HIP070950,,00-33,no,14:30:45.0,+35:27:13.4,......,........,44.361,-481.116,203.115,8.332,1.279,8.921,7.641,.....,1480314599451475712,217.687500,35.453722
RKS1430-0838,-,1,K*,HIP070956+,G2K001531,00-33,eq,14:30:47.7,-08:38:46.7,......,........,63.364,-1271.189,-238.608,8.720,1.826,9.634,7.808,.....,6328672145023976960,217.698750,-8.646306
RKS1431+5039,-,1,K*,,,33-40,no,14:31:09.3,+50:39:48.7,......,........,25.517,-12.893,-72.483,10.659,1.009,11.091,10.083,.....,1603804014541467520,217.788750,50.663528
RKS1431-5122,-,1,K*,HIP071001,,40-50,so,14:31:16.1,-51:22:56.7,......,........,21.213,-15.124,-108.035,9.253,1.146,9.764,8.618,.....,5898774712172083712,217.817083,-51.382417
RKS1431-1538,-,X,G*,HIP071006X,G2KG-edge,40-50,eq,14:31:19.8,-15:38:19.8,......,........,20.443,NaN,NaN,NaN,NaN,NaN,NaN,.....,,217.832500,-15.638833
RKS1431-1538,-,X,K*,HIP......X,G2K001532,40-50,eq,14:31:19.9,-15:38:19.4,......,........,22.559,208.821,-370.607,8.993,1.103,9.047,7.944,.....,6298476051032199936,217.832917,-15.638722
RKS1431+1217,-,1,K*,,G2K001533,40-50,eq,14:31:20.0,+12:17:07.2,......,........,24.453,-250.798,103.272,10.897,1.683,11.721,10.038,.....,1179258076562854784,217.833333,12.285333
RKS1431+0047,-,1,K*,,G2K001534,40-50,eq,14:31:38.9,+00:47:31.5,......,........,21.230,-100.742,-18.138,10.749,1.672,11.561,9.890,.....,3653516301164888960,217.912083,0.792083
RKS1432-0806,-,1,K*,,G2K001535,40-50,eq,14:32:09.2,-08:06:20.9,......,........,20.099,-124.068,13.706,10.595,1.518,11.319,9.801,.....,6330948752568593792,218.038333,-8.105806
RKS1432+1121,-,1,K*,HIP071086,G2K001536,00-33,eq,14:32:13.2,+11:21:11.5,......,........,33.059,57.222,171.892,9.151,1.567,9.905,8.338,.....,1178874377069433472,218.055000,11.353194
RKS1432-5238,-,1,K*,HIP071135,,33-40,so,14:32:52.2,-52:38:46.5,......,........,30.901,-250.339,-48.762,9.958,1.660,10.767,9.107,.....,5897706154359881088,218.217500,-52.646250
RKS1433-0447,-,1,K*,,G2K001537,40-50,eq,14:33:10.9,-04:47:00.9,......,........,23.338,-97.288,-22.085,11.012,1.805,11.910,10.104,.....,3641954837614817536,218.295417,-4.783583
RKS1433+4653,-,1,K*,HIP071165,,40-50,no,14:33:19.5,+46:53:01.2,......,........,23.591,151.815,-138.238,9.443,1.238,10.009,8.770,.....,1494983115357409792,218.331250,46.883667
RKS1433+5254,-,1,K*,HIP071181,,00-33,no,14:33:28.9,+52:54:31.6,......,........,75.509,-191.561,247.973,6.906,1.222,7.473,6.251,.....,1605198298364601088,218.370417,52.908778
RKS1433-0955,B,-,..,,,33-40,eq,14:33:33.9,-09:55:55.1,AB,1.3273,27.827,-260.629,-504.231,NaN,NaN,NaN,NaN,151.3,,218.391250,-9.931972
RKS1433-0955,A,2,K*,HIP071188+,G2K001538,33-40,eq,14:33:33.9,-09:55:55.1,AB,1.3273,27.827,-260.629,-504.231,10.025,1.583,10.777,9.194,151.3,6328283463367590656,218.391250,-9.931972
RKS1433+0920,-,1,K*,HIP071190,G2K001539,00-33,eq,14:33:34.9,+09:20:03.7,......,........,31.041,158.239,-513.101,8.548,1.122,9.052,7.930,.....,1176167143218779776,218.395417,9.334361
RKS1433+3535,-,1,K*,HIP071193,,33-40,no,14:33:36.5,+35:35:10.9,......,........,25.371,-192.081,64.200,8.618,1.030,9.055,8.025,.....,1480210897465079936,218.402083,35.586361
RKS1433+3334,-,1,K*,,,40-50,no,14:33:46.1,+33:34:54.0,......,........,21.259,-1.082,-32.087,11.383,1.776,12.267,10.491,.....,1287377556050427776,218.442083,33.581667
RKS1433+1906,-,1,K*,,G2K001540,40-50,eq,14:33:47.0,+19:06:37.5,......,........,22.930,-136.754,7.870,10.955,1.883,11.882,9.999,.....,1239215751295421824,218.445833,19.110417
RKS1434+0737,-,1,K*,,G2K001541,40-50,eq,14:34:08.5,+07:37:23.1,......,........,20.101,75.253,-114.984,9.295,1.129,9.801,8.672,.....,1172340086840027264,218.535417,7.623083
RKS1434-0158,-,1,K*,HIP071276,G2K001542,40-50,eq,14:34:37.5,-01:58:24.1,......,........,21.424,57.791,-123.436,9.623,1.226,10.182,8.956,.....,3649316239761528192,218.656250,-1.973361
RKS1434-2409,-,1,K*,,G2K001543,40-50,eq,14:34:41.9,-24:09:45.8,......,........,21.392,-105.862,-79.311,10.465,1.548,11.207,9.659,.....,6272100175831555840,218.674583,-24.162722
RKS1434+3344,-,1,K*,HIP071311,,00-33,no,14:34:57.8,+33:44:48.2,......,........,49.900,-711.689,243.232,9.008,1.599,9.781,8.182,.....,1287752248996223488,218.740833,33.746722
RKS1435+0639,-,1,K*,,G2K001544,40-50,eq,14:35:15.3,+06:39:33.6,......,........,22.477,65.354,4.504,11.353,1.884,12.294,10.411,.....,1171453979251962624,218.813750,6.659333
RKS1435-1144,-,1,K*,HIP071340,G2K001545,40-50,eq,14:35:21.1,-11:44:48.5,......,........,22.111,-274.287,-7.219,9.273,1.120,9.774,8.654,.....,6324436998032482048,218.837917,-11.746806
RKS1435-6417,-,1,K*,,,33-40,so,14:35:36.8,-64:17:56.2,......,........,29.488,28.406,119.451,10.279,1.706,11.116,9.410,.....,5850123968410499200,218.903333,-64.298944
RKS1435+5341,-,1,K*,,,40-50,no,14:35:37.4,+53:41:55.8,......,........,20.940,42.201,-140.272,9.300,1.115,9.801,8.686,.....,1606760360788968576,218.905833,53.698833
