RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0014-1057,-,1,K*,HIP001119,G2K000026,40-50,eq,00:14:00.1,-10:57:13.2,......,........,23.625,173.976,14.289,9.136,1.155,9.656,8.501,.....,2427612444524704256,3.500417,-10.953667
RKS0014-4001,-,1,K*,,,33-40,so,00:14:08.9,-40:01:49.3,......,........,26.456,-11.465,3.296,10.373,1.713,11.215,9.502,.....,4996430803710813184,3.537083,-40.030361
RKS0014-6205,-,1,K*,,,40-50,so,00:14:44.2,-62:05:56.4,......,........,20.846,204.415,-27.160,11.208,1.883,12.158,10.275,.....,4904601933317318016,3.684167,-62.099000
RKS0014+3315,-,1,K*,,,40-50,no,00:14:59.1,+33:15:41.4,......,........,20.298,118.845,-39.446,10.621,1.671,11.375,9.705,.....,2863566885085393664,3.746250,33.261500
RKS0016-1435,-,1,K*,,G2K000027,00-33,eq,00:16:11.0,-14:35:28.0,......,........,30.815,0.763,-6.369,9.185,1.340,9.807,8.468,.....,2417069815934357248,4.045833,-14.591111
RKS0016+3031,-,1,K*,HIP001294,,33-40,no,00:16:11.6,+30:31:57.2,......,........,25.461,189.887,47.838,8.509,1.251,9.041,7.790,.....,2860850090635965312,4.048333,30.532556
RKS0016-4643,-,1,K*,HIP001308,,40-50,so,00:16:24.5,-46:43:11.3,......,........,22.727,206.587,17.367,10.538,1.582,11.296,9.713,.....,4978490042416830592,4.102083,-46.719806
RKS0016+4104,-,1,K*,HIP001338,,40-50,no,00:16:45.1,+41:04:08.9,......,........,23.811,217.643,33.510,9.193,1.183,9.726,8.542,.....,383474819290674944,4.187917,41.069139
RKS0016+8139,-,1,K*,HIP001347,,33-40,no,00:16:52.5,+81:39:49.0,......,........,29.470,-5.520,-22.632,8.423,1.030,8.880,7.851,.....,566775227390650752,4.218750,81.663611
RKS0017+4056,-,1,K*,HIP001368,,00-33,no,00:17:06.4,+40:56:53.8,......,........,68.035,567.365,83.564,8.370,1.737,9.227,7.490,.....,383426372059603712,4.276667,40.948278
RKS0017+1935,-,1,K*,,G2K000028,40-50,eq,00:17:17.7,+19:35:10.8,......,........,20.944,31.098,-96.989,11.083,1.751,11.974,10.223,.....,2797722936197451136,4.323750,19.586333
RKS0017+1851,B,-,..,,,33-40,eq,00:17:22.6,+18:51:34.1,AB,1.5897,26.163,529.913,-30.211,NaN,NaN,NaN,NaN,247.5,,4.344167,18.859472
