main_name,plan_id,num_obs,objectname,ra_j2000,dec_j2000,epoch,airmass,shutter_ut_time_date,exptime,emavg,emnumsmp,snrem,decker,temp_chiron,pathfile,comments
 ,546, ,2MA0201_0117B,02:01:47.80,01:17:20.3,2000.0,1.191,2021-08-04T09:13:58.714,1000.0,2.4,10000,16.929931489974436,fiber,23.243,/nfs/morgan/chiron/tous/mir7/fitspec/210803/achi210803.1161.fits,
 ,546, ,2MA0201_0117B,02:01:48.24,01:17:26.0,2000.0,1.203,2019-12-12T02:15:12.014,900.0,2.17,8996,14.466603465509182,fiber,23.214,/nfs/morgan/chiron/tous/mir7/fitspec/191211/achi191211.1127.fits,
41Ara,490,1,41Ara,17:19:06.15,-46:38:18.5,2000.0,1.073,2019-07-02T04:33:08.548,138.669,605.8,1387,119.9246445692929,fiber,22.048,/nfs/morgan/chiron/tous/mir7/fitspec/190701/achi190701.1169.fits,
4283361027353595520,428,1,4283361027353595520,18:34:34.10,03:55:09.9,2000.0,1.208,2018-08-27T01:05:01.119,900.0,9.73,9000,37.20724936916408,slicer,22.98,/nfs/morgan/chiron/tous/mir7/fitspec/180826/achi180826.1132.fits,
4468557611977674496,428,1,4468557611977674496,18:05:27.38,02:29:42.9,2000.0,1.200,2018-08-27T01:01:14.416,21.571,2696.89,216,99.65717427216512,slicer,22.974,/nfs/morgan/chiron/tous/mir7/fitspec/180826/achi180826.1130.fits,
53Vir,490,1,53Vir,13:12:05.66,-16:12:13.0,2000.0,1.394,2019-08-05T00:07:28.993,150.0,989.28,1500,159.67846319359262,fiber,23.358,/nfs/morgan/chiron/tous/mir7/fitspec/190804/achi190804.1124.fits,
58Oph,490,1,58Oph,17:43:28.40,-21:41:15.6,2000.0,1.255,2019-06-19T07:21:02.449,150.0,384.01,1500,99.09126437362052,fiber,21.18,/nfs/morgan/chiron/tous/mir7/fitspec/190618/achi190618.1180.fits,
73Vir,490,1,73Vir,13:32:05.07,-18:43:57.7,2000.0,1.534,2019-08-25T23:33:46.739,205.214,409.26,2052,119.89273981387288,fiber,23.412,/nfs/morgan/chiron/tous/mir7/fitspec/190825/achi190825.1117.fits,
AB Pic,453,1,AB Pic,06:19:12.84,-58:03:22.7,2000.0,1.142,2018-02-28T01:15:23.978,1200.0,14.48,12000,53.59803251135299,fiber,23.323,/nfs/morgan/chiron/tous/mir7/fitspec/180227/achi180227.1123.fits,
AS Col,453,1,AS Col,05:20:38.39,-39:45:20.3,2000.0,1.055,2018-02-25T01:03:23.433,230.0,210.75,2300,90.78898490265372,fiber,23.354,/nfs/morgan/chiron/tous/mir7/fitspec/180224/achi180224.1123.fits,
